District,Year,Total_Accounts_Thousands,Total_Deposits_Rs_Million,Metro_Accounts_Thousands,Metro_Deposits_Cr,Rural_Accounts_Thousands,Rural_Deposits_Cr,SemiUrban_Accounts_Thousands,SemiUrban_Deposits_Cr,Urban_Accounts_Thousands,Urban_Deposits_Cr,Total_Deposits_Cr
AJMER,2010-11,1730.869,78207.632,,,355.548,615.6584,242.052,651.2437,1133.269,6553.8611,7820.76
AJMER,2011-12,1923.003,88403.691,,,392.617,735.3381,271.654,803.7132,1258.732,7301.3178,8840.37
AJMER,2012-13,2239.276,102939.069,,,480.299,887.2694,347.31,974.3981,1411.667,8432.2394,10293.91
AJMER,2013-14,2577.174,123065.416,,,588.922,1079.0499,399.076,1169.3113,1589.176,10058.1804,12306.54
AJMER,2014-15,3105.384,148660.301,,,763.885,1269.2906,486.455,1365.6995,1855.044,12231.04,14866.03
AJMER,2015-16,3623.783,164569.163,,,959.364,1374.2464,583.344,1522.6904,2081.075,13559.9795,16456.92
AJMER,2016-17,3887.127,197413.582,,,965.806,1556.5941,699.138,2045.9811,2222.183,16138.783,19741.36
AJMER,2017-18,4015.563,210523.073,,,1021.876,1741.1452,748.345,2140.6992,2245.342,17170.4629,21052.31
AKOLA,2009-10,669.484,21047.166,,,130.869,156.0339,224.602,540.7974,314.013,1407.8853,2104.72
AKOLA,2010-11,804.776,24567.715,,,162.833,189.2153,285.091,653.6089,356.852,1613.9473,2456.77
AKOLA,2011-12,941.538,29515.601,,,189.164,226.9011,330.708,774.433,421.666,1950.226,2951.56
AKOLA,2012-13,1187.367,35388.358,,,256.214,270.5457,437.435,940.9945,493.718,2327.2956,3538.84
AKOLA,2013-14,1397.367,43142.981,,,306.511,318.5431,516.073,1084.7594,574.783,2910.9956,4314.3
AKOLA,2014-15,1670.987,47234.159,,,382.952,347.2361,617.905,1292.9058,670.13,3083.274,4723.42
AKOLA,2015-16,1872.157,51455.462,,,430.932,401.3945,698.894,1343.066,742.331,3401.0857,5145.55
AKOLA,2016-17,2050.78,61881.154,,,461.993,493.8875,776.202,1678.2261,812.585,4016.0018,6188.12
AKOLA,2017-18,2149.402,64679.073,,,494.419,503.2402,817.382,1689.5209,837.601,4275.1462,6467.91
ALAPUZHA,2009-10,1868.878,87883.236,,,65.743,223.891,1418.063,6828.0443,385.072,1736.3883,8788.32
ALAPUZHA,2010-11,2050.776,94736.658,,,74.145,246.868,1544.078,7401.7821,432.553,1825.0157,9473.67
ALAPUZHA,2011-12,2253.128,114946.377,,,82.541,286.5358,1705.976,9025.6442,464.611,2182.4577,11494.64
ALAPUZHA,2012-13,2787.106,134436.52,,,91.284,323.7301,2134.77,10610.8149,561.052,2509.107,13443.65
ALAPUZHA,2013-14,3407.087,162634.324,,,114.842,359.1076,2629.054,12900.6659,663.191,3003.6589,16263.43
