State,District,Year,No_of_Accounts,Credit_Limit_Cr,Amount_Outstanding_Cr,Credit_Utilization_Ratio
ANDAMAN & NICOBAR ISLANDS,NICOBAR,2019,700,30.7143,22.6322,0.7369
ANDAMAN & NICOBAR ISLANDS,NICOBAR,2020,712,35.5725,26.3212,0.7399
ANDAMAN & NICOBAR ISLANDS,NICOBAR,2021,801,42.7047,32.7415,0.7667
ANDAMAN & NICOBAR ISLANDS,NICOBAR,2022,10691,203.0258,135.9722,0.6697
ANDAMAN & NICOBAR ISLANDS,NICOBAR,2023,1053,62.5147,47.7869,0.7644
ANDAMAN & NICOBAR ISLANDS,NICOBAR,2024,1139,70.4852,51.7193,0.7338
ANDAMAN & NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2019,5767,245.1288,189.5118,0.7731
ANDAMAN & NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2020,6062,269.6944,200.2939,0.7427
ANDAMAN & NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2021,6801,296.4958,220.2044,0.7427
ANDAMAN & NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2022,7074,330.2916,247.1341,0.7482
ANDAMAN & NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2023,7799,380.746,289.2887,0.7598
ANDAMAN & NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2024,8476,428.7266,319.3894,0.745
ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,2019,41462,2549.1418,1968.72,0.7723
ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,2020,43687,3081.5161,2333.9546,0.7574
ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,2021,51302,3392.676,2558.7992,0.7542
ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,2022,76815,4051.7907,3078.892,0.7599
ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,2023,65401,4361.2037,3367.9331,0.7722
ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,2024,73551,5044.6692,3758.9983,0.7451
ANDHRA PRADESH,ALLURI SITHARAMA RAJU,2023,98844,1947.5443,1584.1213,0.8134
ANDHRA PRADESH,ALLURI SITHARAMA RAJU,2024,115378,2501.0296,2062.0919,0.8245
ANDHRA PRADESH,ANAKAPALLI,2023,566869,13337.2968,10596.5286,0.7945
ANDHRA PRADESH,ANAKAPALLI,2024,643582,16844.7846,13615.9117,0.8083
ANDHRA PRADESH,ANANTAPUR,2019,1333752,24141.5038,20669.1094,0.8562
ANDHRA PRADESH,ANANTAPUR,2020,1363952,26585.9431,22483.2437,0.8457
ANDHRA PRADESH,ANANTAPUR,2021,1475939,31786.4779,26505.9048,0.8339
ANDHRA PRADESH,ANANTAPUR,2022,1582637,37164.2323,30477.1476,0.8201
ANDHRA PRADESH,ANANTHAPURAMU,2023,994750,28448.089,22802.6161,0.8016
ANDHRA PRADESH,ANANTHAPURAMU,2024,1086760,33507.3598,27497.9215,0.8207
ANDHRA PRADESH,ANNAMAYYA,2023,635031,15939.9339,13251.103,0.8313
ANDHRA PRADESH,ANNAMAYYA,2024,756211,20767.2343,17428.3222,0.8392
ANDHRA PRADESH,BAPATLA,2023,692722,17084.3096,14281.9043,0.836
ANDHRA PRADESH,BAPATLA,2024,743765,20578.8194,17352.0355,0.8432
ANDHRA PRADESH,CHITTOOR,2019,1333487,29138.5882,23740.6295,0.8147
ANDHRA PRADESH,CHITTOOR,2020,1419795,33687.3314,27034.5316,0.8025
ANDHRA PRADESH,CHITTOOR,2021,1516738,39420.0875,31596.0543,0.8015
ANDHRA PRADESH,CHITTOOR,2022,1644665,45827.7983,36252.282,0.7911
ANDHRA PRADESH,CHITTOOR,2023,762023,20483.3093,15470.9035,0.7553
ANDHRA PRADESH,CHITTOOR,2024,934094,26103.3752,20581.166,0.7884
ANDHRA PRADESH,DR. B.R. AMBEDKAR KONASEEMA,2024,617501,23616.6945,19358.2795,0.8197
ANDHRA PRADESH,EAST GODAVARI,2019,1333299,45861.2121,36602.5891,0.7981
ANDHRA PRADESH,EAST GODAVARI,2020,1358982,46803.5362,37297.4873,0.7969
ANDHRA PRADESH,EAST GODAVARI,2021,1558757,54894.1813,43307.3548,0.7889
ANDHRA PRADESH,EAST GODAVARI,2022,1732362,62385.4686,48661.2244,0.78
ANDHRA PRADESH,EAST GODAVARI,2023,686414,29394.781,22947.9768,0.7807
ANDHRA PRADESH,EAST GODAVARI,2024,776596,40832.3661,29263.5656,0.7167
ANDHRA PRADESH,ELURU,2023,706782,23595.0626,19333.9809,0.8194
ANDHRA PRADESH,ELURU,2024,768533,28720.911,23552.2152,0.82
ANDHRA PRADESH,GUNTUR,2019,1634565,55340.8164,43474.5566,0.7856
ANDHRA PRADESH,GUNTUR,2020,1671931,58008.8458,46430.4419,0.8004
ANDHRA PRADESH,GUNTUR,2021,1880721,67366.1118,53957.5325,0.801
ANDHRA PRADESH,GUNTUR,2022,2059227,79826.4957,61976.2002,0.7764
ANDHRA PRADESH,GUNTUR,2023,1124067,60529.0648,46588.0043,0.7697
ANDHRA PRADESH,GUNTUR,2024,1246957,74144.5025,56923.5774,0.7677
ANDHRA PRADESH,KAKINADA,2023,799296,29720.5895,22784.3745,0.7666
ANDHRA PRADESH,KAKINADA,2024,903969,35871.9986,28093.9889,0.7832
ANDHRA PRADESH,KONASEEMA,2023,554059,18933.1726,15430.6682,0.815
ANDHRA PRADESH,KRISHNA,2019,1371414,91176.0589,69936.517,0.767
ANDHRA PRADESH,KRISHNA,2020,1500257,110275.1536,87006.7324,0.789
ANDHRA PRADESH,KRISHNA,2021,1640929,133093.0079,106292.174,0.7986
ANDHRA PRADESH,KRISHNA,2022,1822362,152063.3323,124897.1154,0.8213
ANDHRA PRADESH,KRISHNA,2023,1248225,87852.9686,70135.6584,0.7983
ANDHRA PRADESH,KRISHNA,2024,1231609,85091.4197,67657.695,0.7951
ANDHRA PRADESH,KURNOOL,2019,995549,21602.6966,18176.9177,0.8414
ANDHRA PRADESH,KURNOOL,2020,1020005,23955.1257,19771.4127,0.8254
ANDHRA PRADESH,KURNOOL,2021,1123900,28414.1752,23168.0314,0.8154
ANDHRA PRADESH,KURNOOL,2022,1223166,33701.5895,27228.3014,0.8079
ANDHRA PRADESH,KURNOOL,2023,729922,24060.7738,18851.4336,0.7835
ANDHRA PRADESH,KURNOOL,2024,805678,29330.1312,22905.1544,0.7809
ANDHRA PRADESH,NANDYAL,2023,621312,16732.3384,13410.4672,0.8015
ANDHRA PRADESH,NANDYAL,2024,691911,20226.9886,16359.0072,0.8088
ANDHRA PRADESH,NTR,2023,663627,76656.9558,63540.4088,0.8289
ANDHRA PRADESH,NTR,2024,873008,98327.4369,75920.8331,0.7721
ANDHRA PRADESH,PALNADU,2023,859690,22718.1481,19416.795,0.8547
ANDHRA PRADESH,PALNADU,2024,941795,27848.4194,23957.9361,0.8603
ANDHRA PRADESH,PARVATHIPURAM MANYAM,2023,179183,3990.5153,3274.2902,0.8205
ANDHRA PRADESH,PARVATHIPURAM MANYAM,2024,219265,5247.0918,4349.1577,0.8289
ANDHRA PRADESH,PRAKASAM,2019,1225364,24918.6568,21406.1944,0.859
ANDHRA PRADESH,PRAKASAM,2020,1237511,26646.3427,22630.3649,0.8493
ANDHRA PRADESH,PRAKASAM,2021,1318837,31676.402,26488.2636,0.8362
ANDHRA PRADESH,PRAKASAM,2022,1437959,36572.512,30406.8763,0.8314
ANDHRA PRADESH,PRAKASAM,2023,1057821,31179.369,25178.0538,0.8075
ANDHRA PRADESH,PRAKASAM,2024,1151565,37192.1032,29965.3175,0.8057
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,2019,944651,23636.0222,19437.5914,0.8224
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,2020,1015689,27116.8149,21700.8611,0.8003
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,2021,1126673,30604.9667,24667.2026,0.806
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,2022,1228444,35183.0882,28007.1514,0.796
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,2023,1125566,36878.1589,29061.2673,0.788
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,2024,1260105,46212.0485,36477.1481,0.7893
ANDHRA PRADESH,SRI SATHYA SAI,2023,733347,16794.3947,13504.031,0.8041
ANDHRA PRADESH,SRI SATHYA SAI,2024,787166,20452.4277,16335.4132,0.7987
ANDHRA PRADESH,SRIKAKULAM,2019,596602,11524.8942,9550.7183,0.8287
ANDHRA PRADESH,SRIKAKULAM,2020,609456,12241.0854,9983.4391,0.8156
ANDHRA PRADESH,SRIKAKULAM,2021,656843,14719.6786,11919.0552,0.8097
ANDHRA PRADESH,SRIKAKULAM,2022,772288,17509.5559,14060.5068,0.803
ANDHRA PRADESH,SRIKAKULAM,2023,729780,18974.1354,15204.1817,0.8013
ANDHRA PRADESH,SRIKAKULAM,2024,824865,23159.7487,18745.5361,0.8094
ANDHRA PRADESH,TIRUPATI,2023,1037781,35629.9108,27782.5933,0.7798
ANDHRA PRADESH,TIRUPATI,2024,1065778,41780.51,32592.5825,0.7801
ANDHRA PRADESH,VISAKHAPATNAM,2019,1279383,79821.5277,60323.4399,0.7557
ANDHRA PRADESH,VISAKHAPATNAM,2020,1413778,94394.608,68833.619,0.7292
ANDHRA PRADESH,VISAKHAPATNAM,2021,1594666,101026.7792,74396.3271,0.7364
ANDHRA PRADESH,VISAKHAPATNAM,2022,1829465,104800.9832,75422.5526,0.7197
ANDHRA PRADESH,VISAKHAPATNAM,2023,1363480,104249.1805,74441.8535,0.7141
ANDHRA PRADESH,VISAKHAPATNAM,2024,1498466,121664.6914,86023.2888,0.7071
ANDHRA PRADESH,VIZIANAGARAM,2019,482457,10084.2529,8221.5356,0.8153
ANDHRA PRADESH,VIZIANAGARAM,2020,475924,10427.0369,8322.7482,0.7982
ANDHRA PRADESH,VIZIANAGARAM,2021,520953,12497.1673,9954.7473,0.7966
ANDHRA PRADESH,VIZIANAGARAM,2022,541080,13862.4817,11071.8944,0.7987
ANDHRA PRADESH,VIZIANAGARAM,2023,530228,15068.2136,11974.5986,0.7947
ANDHRA PRADESH,VIZIANAGARAM,2024,614313,18839.1107,15164.0475,0.8049
ANDHRA PRADESH,WEST GODAVARI,2019,1094306,46657.2017,27327.452,0.5857
ANDHRA PRADESH,WEST GODAVARI,2020,1158340,37004.6544,30632.9609,0.8278
ANDHRA PRADESH,WEST GODAVARI,2021,1294030,42886.5151,35390.8829,0.8252
ANDHRA PRADESH,WEST GODAVARI,2022,1441379,49115.1382,40210.904,0.8187
ANDHRA PRADESH,WEST GODAVARI,2023,977498,36811.331,30048.4918,0.8163
ANDHRA PRADESH,WEST GODAVARI,2024,1115319,43910.5454,36367.7965,0.8282
ANDHRA PRADESH,Y.S.R.,2019,840472,17150.9225,14705.238,0.8574
ANDHRA PRADESH,Y.S.R.,2020,868774,19704.0645,16702.2194,0.8477
ANDHRA PRADESH,Y.S.R.,2021,942884,22683.7068,18892.0644,0.8328
ANDHRA PRADESH,Y.S.R.,2022,1016266,26484.9701,21888.2952,0.8264
ANDHRA PRADESH,Y.S.R.,2023,839458,25501.484,20375.3903,0.799
ANDHRA PRADESH,Y.S.R.,2024,936030,31146.2296,24950.5956,0.8011
ARUNACHAL PRADESH,ANJAW,2019,621,26.0839,20.3373,0.7797
ARUNACHAL PRADESH,ANJAW,2020,697,30.0698,22.2264,0.7392
ARUNACHAL PRADESH,ANJAW,2021,718,33.116,24.2856,0.7333
ARUNACHAL PRADESH,ANJAW,2022,874,42.7816,31.869,0.7449
ARUNACHAL PRADESH,ANJAW,2023,1019,48.605,36.6999,0.7551
ARUNACHAL PRADESH,ANJAW,2024,1140,54.92,42.1401,0.7673
ARUNACHAL PRADESH,CHUNGLANG,2019,3830,164.896,110.1848,0.6682
ARUNACHAL PRADESH,CHUNGLANG,2020,3895,174.9402,124.4008,0.7111
ARUNACHAL PRADESH,CHUNGLANG,2021,4761,1572.1456,1029.883,0.6551
ARUNACHAL PRADESH,CHUNGLANG,2022,4948,240.8627,179.9198,0.747
ARUNACHAL PRADESH,CHUNGLANG,2023,5828,303.6236,232.3935,0.7654
ARUNACHAL PRADESH,CHUNGLANG,2024,6982,374.8828,284.4535,0.7588
ARUNACHAL PRADESH,DIBANG VALLEY,2019,652,33.0832,23.8251,0.7202
ARUNACHAL PRADESH,DIBANG VALLEY,2020,415,21.8969,15.6246,0.7136
ARUNACHAL PRADESH,DIBANG VALLEY,2021,460,24.5389,17.6075,0.7175
ARUNACHAL PRADESH,DIBANG VALLEY,2022,563,28.7682,21.3417,0.7419
ARUNACHAL PRADESH,DIBANG VALLEY,2023,700,35.1335,26.5091,0.7545
ARUNACHAL PRADESH,DIBANG VALLEY,2024,777,45.5079,36.1604,0.7946
ARUNACHAL PRADESH,EAST KAMENG,2019,2126,130.2219,94.6114,0.7265
ARUNACHAL PRADESH,EAST KAMENG,2020,2634,151.0088,108.9716,0.7216
ARUNACHAL PRADESH,EAST KAMENG,2021,2874,169.2548,123.1299,0.7275
ARUNACHAL PRADESH,EAST KAMENG,2022,2976,192.264,138.8273,0.7221
ARUNACHAL PRADESH,EAST KAMENG,2023,3199,214.1704,155.4309,0.7257
ARUNACHAL PRADESH,EAST KAMENG,2024,3661,239.5691,176.7291,0.7377
ARUNACHAL PRADESH,EAST SIANG,2019,7643,359.5567,257.2662,0.7155
ARUNACHAL PRADESH,EAST SIANG,2020,10279,455.9707,337.6165,0.7404
ARUNACHAL PRADESH,EAST SIANG,2021,12111,511.7017,365.1231,0.7135
ARUNACHAL PRADESH,EAST SIANG,2022,12334,611.325,438.2631,0.7169
ARUNACHAL PRADESH,EAST SIANG,2023,13302,779.6154,569.7621,0.7308
ARUNACHAL PRADESH,EAST SIANG,2024,13837,956.0635,719.531,0.7526
ARUNACHAL PRADESH,KAMLE,2022,322,13.9784,10.2479,0.7331
ARUNACHAL PRADESH,KAMLE,2023,532,18.5233,13.6046,0.7345
ARUNACHAL PRADESH,KAMLE,2024,747,28.6784,22.5558,0.7865
ARUNACHAL PRADESH,KRA DAADI,2019,493,22.2436,16.9758,0.7632
ARUNACHAL PRADESH,KRA DAADI,2020,471,23.7134,16.9036,0.7128
ARUNACHAL PRADESH,KRA DAADI,2021,677,29.2791,21.9112,0.7484
ARUNACHAL PRADESH,KRA DAADI,2022,1117,37.6587,28.3276,0.7522
ARUNACHAL PRADESH,KRA DAADI,2023,1339,47.1006,36.8651,0.7827
ARUNACHAL PRADESH,KRA DAADI,2024,2013,63.3747,49.8956,0.7873
ARUNACHAL PRADESH,KURUNG KUMEY,2019,567,28.3042,19.0973,0.6747
ARUNACHAL PRADESH,KURUNG KUMEY,2020,555,30.1201,19.092,0.6339
ARUNACHAL PRADESH,KURUNG KUMEY,2021,544,33.7535,22.8722,0.6776
ARUNACHAL PRADESH,KURUNG KUMEY,2022,722,47.6533,36.7975,0.7722
ARUNACHAL PRADESH,KURUNG KUMEY,2023,983,61.0165,47.6588,0.7811
ARUNACHAL PRADESH,KURUNG KUMEY,2024,1401,73.1479,55.874,0.7638
ARUNACHAL PRADESH,LEPARADA,2022,1498,98.1103,72.9321,0.7434
ARUNACHAL PRADESH,LEPARADA,2023,1580,103.027,75.6457,0.7342
ARUNACHAL PRADESH,LEPARADA,2024,2346,144.3905,107.9029,0.7473
ARUNACHAL PRADESH,LOHIT,2019,3884,165.6988,134.2915,0.8105
ARUNACHAL PRADESH,LOHIT,2020,4010,139.0205,100.4471,0.7225
ARUNACHAL PRADESH,LOHIT,2021,5049,177.4115,129.1761,0.7281
ARUNACHAL PRADESH,LOHIT,2022,5569,213.6763,157.1178,0.7353
ARUNACHAL PRADESH,LOHIT,2023,5912,267.735,200.3592,0.7483
ARUNACHAL PRADESH,LOHIT,2024,6939,324.417,237.9494,0.7335
ARUNACHAL PRADESH,LONGDING,2019,1397,51.2043,37.9665,0.7415
ARUNACHAL PRADESH,LONGDING,2020,1385,56.9463,42.5785,0.7477
ARUNACHAL PRADESH,LONGDING,2021,1834,84.859,67.0396,0.79
ARUNACHAL PRADESH,LONGDING,2022,2512,126.1317,102.7872,0.8149
ARUNACHAL PRADESH,LONGDING,2023,2848,149.72,114.5854,0.7653
ARUNACHAL PRADESH,LONGDING,2024,4104,171.5492,130.9266,0.7632
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,2019,2921,95.7725,66.6788,0.6962
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,2020,3354,113.5368,78.8813,0.6948
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,2021,3754,134.1052,93.1017,0.6942
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,2022,4127,167.019,117.1408,0.7014
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,2023,4889,211.1404,148.2631,0.7022
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,2024,6132,291.9296,210.149,0.7199
ARUNACHAL PRADESH,LOWER SIANG,2019,2480,117.9421,81.1946,0.6884
ARUNACHAL PRADESH,LOWER SIANG,2020,2700,142.5725,100.0257,0.7016
ARUNACHAL PRADESH,LOWER SIANG,2021,3171,163.0794,122.3665,0.7503
ARUNACHAL PRADESH,LOWER SIANG,2022,1468,98.723,74.908,0.7588
ARUNACHAL PRADESH,LOWER SIANG,2023,1818,136.3925,106.5104,0.7809
ARUNACHAL PRADESH,LOWER SIANG,2024,2829,197.2338,154.4191,0.7829
ARUNACHAL PRADESH,LOWER SUBANSIRI,2019,5377,282.9929,207.6769,0.7339
ARUNACHAL PRADESH,LOWER SUBANSIRI,2020,5464,305.5395,220.2786,0.7209
ARUNACHAL PRADESH,LOWER SUBANSIRI,2021,5876,327.6981,229.4787,0.7003
ARUNACHAL PRADESH,LOWER SUBANSIRI,2022,6120,363.217,255.2804,0.7028
ARUNACHAL PRADESH,LOWER SUBANSIRI,2023,6246,410.5288,300.7678,0.7326
ARUNACHAL PRADESH,LOWER SUBANSIRI,2024,7240,477.5071,357.5172,0.7487
ARUNACHAL PRADESH,NAMSAI,2019,3596,123.1507,89.3681,0.7257
ARUNACHAL PRADESH,NAMSAI,2020,4164,152.9003,117.6697,0.7696
ARUNACHAL PRADESH,NAMSAI,2021,4722,186.6758,144.3996,0.7735
ARUNACHAL PRADESH,NAMSAI,2022,5145,246.5389,185.1957,0.7512
ARUNACHAL PRADESH,NAMSAI,2023,5685,324.4797,244.8127,0.7545
ARUNACHAL PRADESH,NAMSAI,2024,7080,413.5384,317.8459,0.7686
ARUNACHAL PRADESH,PAKKE KESSANG,2019,647,20.9095,16.0776,0.7689
ARUNACHAL PRADESH,PAKKE KESSANG,2020,636,22.504,16.9105,0.7514
ARUNACHAL PRADESH,PAKKE KESSANG,2021,597,24.0241,17.4448,0.7261
ARUNACHAL PRADESH,PAKKE KESSANG,2022,711,29.272,21.1823,0.7236
ARUNACHAL PRADESH,PAKKE KESSANG,2023,859,36.2856,26.3267,0.7255
ARUNACHAL PRADESH,PAKKE KESSANG,2024,1158,47.4712,35.8958,0.7562
ARUNACHAL PRADESH,PAPUMPARE,2019,33541,2454.7214,1950.7877,0.7947
ARUNACHAL PRADESH,PAPUMPARE,2020,46663,2881.6451,2200.454,0.7636
ARUNACHAL PRADESH,PAPUMPARE,2021,52586,3466.2038,2574.5145,0.7427
ARUNACHAL PRADESH,PAPUMPARE,2022,55594,3977.0837,3007.4659,0.7562
ARUNACHAL PRADESH,PAPUMPARE,2023,60028,4806.7124,3741.7938,0.7785
ARUNACHAL PRADESH,PAPUMPARE,2024,59713,5715.0534,4374.6813,0.7655
ARUNACHAL PRADESH,SHI-YOMI,2021,205,12.2342,8.3533,0.6828
ARUNACHAL PRADESH,SHI-YOMI,2022,200,13.3791,9.5993,0.7175
ARUNACHAL PRADESH,SHI-YOMI,2023,198,14.5395,10.2121,0.7024
ARUNACHAL PRADESH,SHI-YOMI,2024,230,17.9035,11.4486,0.6395
ARUNACHAL PRADESH,SIANG,2019,315,13.2995,9.4869,0.7133
ARUNACHAL PRADESH,SIANG,2020,350,17.9443,13.097,0.7299
ARUNACHAL PRADESH,SIANG,2021,481,25.6276,20.0062,0.7807
ARUNACHAL PRADESH,SIANG,2022,555,30.6259,23.1328,0.7553
ARUNACHAL PRADESH,SIANG,2023,681,42.7052,32.8261,0.7687
ARUNACHAL PRADESH,SIANG,2024,1125,67.9655,52.8913,0.7782
ARUNACHAL PRADESH,TAWANG,2019,2787,147.105,108.8228,0.7398
ARUNACHAL PRADESH,TAWANG,2020,7225,170.4574,121.4444,0.7125
ARUNACHAL PRADESH,TAWANG,2021,9319,179.2617,121.4103,0.6773
ARUNACHAL PRADESH,TAWANG,2022,3993,198.9931,136.54,0.6862
ARUNACHAL PRADESH,TAWANG,2023,6036,244.5399,176.9115,0.7234
ARUNACHAL PRADESH,TAWANG,2024,5302,322.6118,228.2461,0.7075
ARUNACHAL PRADESH,TIRAP,2019,3293,134.7412,96.2666,0.7145
ARUNACHAL PRADESH,TIRAP,2020,3403,153.0848,108.9492,0.7117
ARUNACHAL PRADESH,TIRAP,2021,3453,166.1037,117.54,0.7076
ARUNACHAL PRADESH,TIRAP,2022,3713,192.7978,139.7493,0.7248
ARUNACHAL PRADESH,TIRAP,2023,3798,219.441,160.5214,0.7315
ARUNACHAL PRADESH,TIRAP,2024,4952,256.0185,186.6609,0.7291
ARUNACHAL PRADESH,UPPER SIANG,2019,1347,68.3914,48.173,0.7044
ARUNACHAL PRADESH,UPPER SIANG,2020,1335,64.3151,42.8111,0.6656
ARUNACHAL PRADESH,UPPER SIANG,2021,1360,70.7995,47.9107,0.6767
ARUNACHAL PRADESH,UPPER SIANG,2022,1748,91.4593,63.1579,0.6906
ARUNACHAL PRADESH,UPPER SIANG,2023,1606,93.8419,66.7468,0.7113
ARUNACHAL PRADESH,UPPER SIANG,2024,2106,126.2384,94.1204,0.7456
ARUNACHAL PRADESH,UPPER SUBANSIRI,2019,3734,203.4744,153.6787,0.7553
ARUNACHAL PRADESH,UPPER SUBANSIRI,2020,3725,221.4333,162.8124,0.7353
ARUNACHAL PRADESH,UPPER SUBANSIRI,2021,4110,246.8165,181.5233,0.7355
ARUNACHAL PRADESH,UPPER SUBANSIRI,2022,4895,299.3708,220.5842,0.7368
ARUNACHAL PRADESH,UPPER SUBANSIRI,2023,4988,339.0273,259.1586,0.7644
ARUNACHAL PRADESH,UPPER SUBANSIRI,2024,5637,392.8665,302.4663,0.7699
ARUNACHAL PRADESH,WEST KAMENG,2019,4569,212.2897,145.9381,0.6874
ARUNACHAL PRADESH,WEST KAMENG,2020,5252,242.1408,173.8444,0.7179
ARUNACHAL PRADESH,WEST KAMENG,2021,5932,292.6338,211.2154,0.7218
ARUNACHAL PRADESH,WEST KAMENG,2022,6803,375.5519,280.9738,0.7482
ARUNACHAL PRADESH,WEST KAMENG,2023,8050,517.1612,395.3569,0.7645
ARUNACHAL PRADESH,WEST KAMENG,2024,9313,677.9418,513.3477,0.7572
ARUNACHAL PRADESH,WEST SIANG,2019,5802,252.9749,180.0634,0.7118
ARUNACHAL PRADESH,WEST SIANG,2020,5622,274.3862,193.177,0.704
ARUNACHAL PRADESH,WEST SIANG,2021,5489,285.9901,206.9534,0.7236
ARUNACHAL PRADESH,WEST SIANG,2022,7099,399.2356,299.9114,0.7512
ARUNACHAL PRADESH,WEST SIANG,2023,6656,439.6999,330.0003,0.7505
ARUNACHAL PRADESH,WEST SIANG,2024,7057,493.9876,368.4651,0.7459
ASSAM,BAJALI,2023,47432,1018.8997,756.1959,0.7422
ASSAM,BAJALI,2024,45668,1237.8798,916.9743,0.7408
ASSAM,BAKSA,2019,35991,353.6348,310.7872,0.8788
ASSAM,BAKSA,2020,66406,666.1923,541.0302,0.8121
ASSAM,BAKSA,2021,58413,778.2691,599.9795,0.7709
ASSAM,BAKSA,2022,69562,1029.2846,803.5633,0.7807
ASSAM,BAKSA,2023,66953,1274.7194,962.7656,0.7553
ASSAM,BAKSA,2024,65491,1602.9448,1196.3927,0.7464
ASSAM,BARPETA,2019,225274,2987.7021,2430.1637,0.8134
ASSAM,BARPETA,2020,241526,3232.592,2554.0815,0.7901
ASSAM,BARPETA,2021,271909,3752.3139,2924.7033,0.7794
ASSAM,BARPETA,2022,248254,4041.8311,3122.152,0.7725
ASSAM,BARPETA,2023,188296,3638.7292,2796.5969,0.7686
ASSAM,BARPETA,2024,182684,4406.0864,3346.447,0.7595
ASSAM,BISWANATH,2019,66795,885.2008,714.0141,0.8066
ASSAM,BISWANATH,2020,85503,1046.4116,795.876,0.7606
ASSAM,BISWANATH,2021,110550,1302.5569,1006.8146,0.773
ASSAM,BISWANATH,2022,101693,1501.1653,1144.3373,0.7623
ASSAM,BISWANATH,2023,78682,1575.051,1159.1791,0.736
ASSAM,BISWANATH,2024,70831,1798.4068,1326.457,0.7376
ASSAM,BONGAIGAON,2019,90516,1590.3294,1232.3193,0.7749
ASSAM,BONGAIGAON,2020,123694,1983.7189,1496.1174,0.7542
ASSAM,BONGAIGAON,2021,150956,2351.9378,1783.1231,0.7582
ASSAM,BONGAIGAON,2022,114303,2657.5389,1989.4802,0.7486
ASSAM,BONGAIGAON,2023,107408,3119.7607,2323.0373,0.7446
ASSAM,BONGAIGAON,2024,109352,3772.9499,2795.6532,0.741
ASSAM,CACHAR,2019,257998,3882.6289,3139.6365,0.8086
ASSAM,CACHAR,2020,289511,4378.6282,3436.7891,0.7849
ASSAM,CACHAR,2021,352370,5110.9645,4001.4671,0.7829
ASSAM,CACHAR,2022,331267,5563.5744,4320.0901,0.7765
ASSAM,CACHAR,2023,303858,6214.1055,4708.7379,0.7577
ASSAM,CACHAR,2024,315975,7436.3287,5570.5336,0.7491
ASSAM,CHARAIDEO,2019,45468,443.7686,369.0717,0.8317
ASSAM,CHARAIDEO,2020,44244,505.3207,396.3335,0.7843
ASSAM,CHARAIDEO,2021,58839,645.5519,506.7259,0.7849
ASSAM,CHARAIDEO,2022,42220,688.9695,519.8379,0.7545
ASSAM,CHARAIDEO,2023,40525,850.5718,623.1495,0.7326
ASSAM,CHARAIDEO,2024,40773,1063.1752,758.965,0.7139
ASSAM,CHIRANG,2019,32077,253.2846,229.5989,0.9065
ASSAM,CHIRANG,2020,50357,742.3302,582.4398,0.7846
ASSAM,CHIRANG,2021,57634,804.6933,620.2492,0.7708
ASSAM,CHIRANG,2022,53143,906.1893,687.9315,0.7591
ASSAM,CHIRANG,2023,49359,1053.1972,777.4105,0.7381
ASSAM,CHIRANG,2024,47266,1252.4776,934.8781,0.7464
ASSAM,DARRANG,2019,112147,1394.9675,1131.9581,0.8115
ASSAM,DARRANG,2020,142012,1625.374,1277.718,0.7861
ASSAM,DARRANG,2021,170002,1911.12,1492.8188,0.7811
ASSAM,DARRANG,2022,151404,2111.1789,1616.5737,0.7657
ASSAM,DARRANG,2023,136102,2499.1218,1890.9888,0.7567
ASSAM,DARRANG,2024,129303,2997.2118,2222.5585,0.7415
ASSAM,DHEMAJI,2019,58968,885.6932,726.381,0.8201
ASSAM,DHEMAJI,2020,90700,1138.3215,889.529,0.7814
ASSAM,DHEMAJI,2021,103530,1379.1995,1073.3802,0.7783
ASSAM,DHEMAJI,2022,96612,1600.4934,1231.3167,0.7693
ASSAM,DHEMAJI,2023,98455,1942.1825,1485.566,0.7649
ASSAM,DHEMAJI,2024,88557,2323.2808,1751.1659,0.7537
ASSAM,DHUBRI,2019,179043,2019.3712,1673.9342,0.8289
ASSAM,DHUBRI,2020,162707,1796.5332,1460.2985,0.8128
ASSAM,DHUBRI,2021,202164,2195.1115,1767.2646,0.8051
